names,scores,logfoldchanges,pvals,pvals_adj
BRCA1,35.045124,1.0120586,4.626225313316444e-269,2.4009325270127035e-267
LINC00486,35.032,0.8478156,7.329960494722307e-269,3.7982727597421037e-267
CCNC,35.00832,0.59977764,1.6809780628454056e-268,8.697189418242543e-267
SEC14L1,34.98701,0.65453315,3.5456574135682816e-268,1.8316692178497984e-266
SLFNL1-AS1,34.93223,1.191644,2.410402690301859e-267,1.243295304973158e-265
AC073167.1,34.92953,1.503682,2.649183747852442e-267,1.3643701375407637e-265
ZFHX3,34.92065,0.3901805,3.6133590018484156e-267,1.8580940137444022e-265
ERBB4,34.918713,0.61116356,3.866697565761759e-267,1.9853370032010298e-265
PTPRG,34.892174,0.33074984,9.770786397759867e-267,5.009126749609555e-265
RMND1,34.843964,0.68918926,5.2555738565295816e-266,2.6820945247822632e-264
RBM39,34.841114,0.26167163,5.8040311011214355e-266,2.957509463660699e-264
VWA8,34.75698,0.41490433,1.0872491536886455e-264,5.506876089404655e-263
AC008591.1,34.747295,0.7811157,1.5227582662689276e-264,7.701132721391894e-263
PARP2,34.6669,1.1777036,2.4853666038381876e-263,1.2457160409297296e-261
AC004158.1,34.62749,2.5261674,9.747271983125798e-263,4.878270652832736e-261
AC063944.1,34.608356,2.2230442,1.8916610727280846e-262,9.453253449796342e-261
AF107885.2,34.56273,1.8737938,9.17737374245808e-262,4.5591785013786585e-260
ST7-AS2,34.407234,2.1407475,1.9654370108488188e-259,9.720976416947123e-258
ATG5,34.29795,0.4664792,8.418684019811156e-258,4.13350022092244e-256
NUSAP1,34.181683,1.4386662,4.525407258525159e-256,2.2154762686285523e-254
AC010894.3,34.1709,1.3422887,6.544023912905772e-256,3.199068409789437e-254
N4BP2L2,34.122234,0.2402911,3.452518698743118e-255,1.6853294900154447e-253
URI1,34.063046,0.3746842,2.6019919757532185e-254,1.2683110524937758e-252
TRIM73,34.061382,0.9853401,2.7534609063882795e-254,1.340203327297255e-252
ID3,34.026047,0.893915,9.17850968638685e-254,4.461047088843894e-252
R3HDM2,33.869614,0.3077338,1.8669199961336267e-251,9.034712544507588e-250
AC026894.1,33.815895,1.5332578,1.1517754955882367e-250,5.549943096194992e-249
MTG1,33.797375,0.64000183,2.155348457991173e-250,1.0356126499580412e-248
